%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1753722633668797185,158741,1753722633668797185,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004526675290534443,-0.0007929554216148787,0.0009570100158015621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45162807538208016,0.2889532056121827,10.13704647721924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633673847028,158742,1753722633673847028,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023816343355732203,-0.002680920886607987,0.0011303695241283566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4878661730148316,0.3490894461010743,10.11684366491547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633678798556,158743,1753722633678798556,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008946646700097032,-0.006369512325456865,0.0015324096044683818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5660600809750368,0.42636386091369644,10.076487959412539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633684128876,158744,1753722633684128876,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014408191475692885,-0.009074211988746412,0.0016025273377783162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5180273678488161,0.4974422015399171,10.063492113091128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633688972933,158745,1753722633688972933,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011000179917473936,-0.012370608963257809,0.0011934016419872786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4008560364263917,0.5143414943930055,10.012599406371766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633694008366,158746,1753722633694008366,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.933685995752698e-06,-0.0157393833206535,0.000649657322804054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3173147389132691,0.45671599333007823,9.86900171499512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633699029419,158747,1753722633699029419,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014861674899646214,-0.016888624953816243,0.000537461686348813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16308541549957278,0.30513250217102056,9.845150797766726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633703821258,158748,1753722633703821258,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003981555006163978,-0.018357142966569744,0.001103584606495201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17127981010162358,0.2523370635372925,9.980474068350832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633708256771,158749,1753722633708256771,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006360300218352845,-0.018839182712018978,0.0014484716929581527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21743074057800296,0.19754240666229253,10.158952105598756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633713947825,158750,1753722633713947825,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003594900718372193,-0.018830559727839702,0.0014184869501241697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22212511162811285,0.20614381554656985,10.220034594438784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633718895115,158751,1753722633718895115,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011598188107149882,-0.020722741860342096,0.001646146644740415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17136977222900393,0.24546618361297612,10.27834022833832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753722633723218372,158752,1753722633723218372,imu_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018045040974377563,-0.022953015990230276,0.002724330368966753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15244684027771,0.20108199439666752,10.212621248273319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
